Date,VIX,Log Total Assets,Log Currency in Circulation ($ Bil),Effective Federal Funds Rate (%),Loss Function
12/31/2004,7.017294360000001,0.016904490000001715,-0.0064130930000008135,1.426129033,0.032383029999999646
1/31/2005,8.660285710000002,0.012749870000000385,0.0004915480000002859,1.5203225809999998,0.8897403950000005
2/28/2005,11.930526320000007,0.016557719999999776,0.002775534999999607,1.7494458129999997,-0.45084502400000037
3/31/2005,8.385866749999996,0.01714587999999928,0.008395796000000288,1.8787096779999999,1.4805300719999994
4/30/2005,7.0538095200000015,0.01928860000000121,0.007823231000000597,2.035,-0.47028746999999993
5/31/2005,-1.2028571399999954,0.021755970000000957,0.005472525999999256,2.252580645,-0.6048584080000006
6/30/2005,1.54556277,0.010887029999999243,-0.0034724100000014246,2.207,-1.409424436
7/31/2005,-0.7943982599999977,0.003978570000001014,-0.01806151199999917,1.7467741940000001,-1.506549346
8/31/2005,-1.1425917599999966,0.014680330000000907,-0.017518422000001088,1.669999999,-1.515591917
9/30/2005,3.9747619100000016,-0.01352697999999819,-0.01679223500000049,1.4230000000000003,-1.7326685399999997
10/31/2005,3.013478270000002,-0.015485590000000826,-0.018568810999998853,1.2674193549999997,-0.6185968910000004
11/30/2005,2.39343358,-0.03216441999999908,-0.01858984099999894,1.1310000000000002,-0.38964799400000016
12/31/2005,3.1672727399999996,-0.024995760000001255,-0.011670848999999706,0.8290322580000002,0.15927111799999993
1/31/2006,1.2609999999999975,-0.02437182000000071,-0.002133114000000269,0.723548386,-0.06745632200000018
2/28/2006,5.051578939999999,-0.019696040000001247,-0.005188705000000127,0.4950985220000004,0.6567044150000001
3/31/2006,3.128577060000003,-0.01616270999999969,-0.00425970600000003,0.3329032260000002,-0.9721666309999997
4/30/2006,-1.3721553899999996,-0.011027300000000295,-0.0023954740000009522,0.22433333300000013,-0.06288439800000023
5/31/2006,4.224307349999998,-0.00977354000000119,0.005000086999999986,-0.060322580000000015,-0.39599648799999987
6/30/2006,8.52409091,-0.012863559999999552,-0.0010160159999985652,-0.054666667000000224,-0.5678253460000002
7/31/2006,8.73038095,-0.011457469999999859,0.002396587999998978,-0.026451613000000096,-0.4690270050000003
8/31/2006,4.13322134,-0.02027211000000051,0.0005071990000002913,-0.3235483860000006,-0.4413237590000001
9/30/2006,1.0211666599999987,-0.014340830000001858,-0.005603608000000371,-0.38633333300000006,0.07882451199999996
10/31/2006,-3.5950649400000003,-0.0018944099999984587,-0.0046850540000011875,-0.5525806459999991,-0.3025930389999998
11/30/2006,0.09999999999999964,0.0043495599999996415,-0.003949658000000689,-0.8203333330000002,-0.3127155289999999
12/31/2006,0.9040454499999999,-0.011035109999999904,-0.00633303800000018,-0.9200000000000008,-0.5532028050000001
1/31/2007,0.40850000000000186,-0.006710399999999339,-0.020059149999999804,-1.0425806439999992,-0.831276125
2/28/2007,-2.0778947300000006,-0.0013908399999991161,-0.020443484999999484,-1.2221428570000001,-0.628004926
3/31/2007,4.901264829999999,-0.009285050000000794,-0.025965665999999388,-1.2929032260000004,-0.4674503140000001
4/30/2007,3.6973107799999987,-0.007824469999999195,-0.026486698999999447,-1.545999999000001,-0.914537894
5/31/2007,-1.64374458,-0.006423220000000285,-0.032882751999999904,-1.62451613,-0.9465115260000001
6/30/2007,-7.021017310000001,-0.015541110000000913,-0.023236847000000616,-1.6923333329999997,-1.3430520069999998
7/31/2007,-2.3296666700000017,-0.010157460000002061,-0.01786747199999983,-1.9493548379999996,-1.090940197
8/31/2007,11.273913049999999,-0.008580359999999843,-0.01627739799999972,-1.9709677419999991,-1.06331728
9/30/2007,10.45804261,0.011405030000000593,-0.012260992999999054,-1.9483333340000009,-1.6756222269999999
10/31/2007,11.44054394,-0.0036641000000017243,-0.008128854999999824,-1.955483870000001,-1.56066137
11/30/2007,16.0947619,-0.005876880000000639,-0.009076201999999256,-2.0056666670000003,-0.9456183300000001
12/31/2007,10.982000000000001,-0.0003194699999991002,-0.019178119000000216,-2.074516128999999,-1.4471543909999998
1/31/2008,15.767190479999998,0.009092469999998798,-0.017131315999999508,-2.2712903230000006,-1.213137584
2/29/2008,15.61652631,-0.02274642000000071,-0.013935692999999638,-3.0457389160000004,-1.545435571
3/31/2008,8.471958500000001,-0.010108049999997704,-0.009148384000000398,-3.313870968,-1.609799274
4/30/2008,7.544095690000001,-0.012105250000001178,-0.01342301099999954,-3.430666667999999,-0.941949015
5/31/2008,6.162424240000002,-0.01829561999999818,-0.008887301999999764,-3.588387096000001,-1.82255138
6/30/2008,9.13387445,0.0072347400000012385,-0.006527803000000887,-3.5159999999999996,-1.7983914189999997
7/31/2008,5.1016060700000025,0.011975180000002084,-0.004657705999999706,-3.271935485,-2.3954006700000003
8/31/2008,-16.004720499999998,0.017262690000000802,0.0002845159999997904,-2.801612904,-3.682926685
9/30/2008,-1.9157756899999967,0.09876481000000048,0.00508745699999924,-2.809666665999999,-3.332130082
10/31/2008,34.25245059999999,0.6441290800000008,0.018381182000000607,-3.2964516129999994,-5.384470734000001
11/30/2008,22.321804519999993,0.8514916100000018,0.02868750999999925,-3.339999999999999,-7.626097440999999
