Date,VIX
12/31/2002,28.21047619
1/31/2003,27.42428571
2/28/2003,32.21842105
3/31/2003,30.63428571
4/30/2003,23.99190476
5/31/2003,20.23952381
6/30/2003,20.36238095
7/31/2003,19.16136364
8/31/2003,19.27428571
9/30/2003,19.53238095
10/31/2003,18.02347826
11/30/2003,17.40105263
12/31/2003,16.82636364
1/31/2004,16.101
2/29/2004,15.99842105
3/31/2004,17.6873913
4/30/2004,15.69857143
5/31/2004,17.705
6/30/2004,15.34272727
7/31/2004,15.50238095
8/31/2004,16.68409091
9/30/2004,14.09285714
10/31/2004,14.97380952
11/30/2004,13.57761905
12/31/2004,12.45954545
1/31/2005,13.438
2/28/2005,11.70894737
3/31/2005,13.12636364
4/30/2005,14.45904762
5/31/2005,13.96761905
6/30/2005,11.86863636
7/31/2005,11.049
8/31/2005,12.95130435
9/30/2005,12.62809524
10/31/2005,14.93761905
11/30/2005,12.14761905
12/31/2005,11.26
1/31/2006,12.036
2/28/2006,12.47105263
3/31/2006,11.69391304
4/30/2006,11.84736842
5/31/2006,14.45454545
6/30/2006,16.91863636
7/31/2006,15.326
8/31/2006,13.35173913
9/30/2006,12.1845
10/31/2006,11.30636364
11/30/2006,10.81761905
12/31/2006,10.9645
1/31/2007,11.0425
2/28/2007,11.15526316
3/31/2007,15.16272727
4/30/2007,12.933
5/31/2007,13.29772727
6/30/2007,14.94761905
7/31/2007,17.27333333
8/31/2007,25.02608696
9/30/2007,22.19894737
10/31/2007,19.11565217
11/30/2007,25.58238095
12/31/2007,21.651
1/31/2008,25.81619048
2/29/2008,25.456
3/31/2008,27.1035
4/30/2008,21.56272727
5/31/2008,18.30333333
6/30/2008,22.11047619
7/31/2008,24.32227273
8/31/2008,20.69571429
9/30/2008,30.29761905
10/31/2008,61.1773913
11/30/2008,62.66894737
12/31/2008,52.35590909
1/31/2009,44.683
2/28/2009,45.57052632
3/31/2009,44.79545455
4/30/2009,38.06380952
5/31/2009,31.978
6/30/2009,29.14045455
7/31/2009,26.16272727
8/31/2009,25.33714286
9/30/2009,24.92666667
10/31/2009,24.25227273
11/30/2009,23.789
12/31/2009,21.23954545
1/31/2010,20.64315789
2/28/2010,22.54
3/31/2010,17.7673913
4/30/2010,17.42428571
5/31/2010,31.9295
6/30/2010,29.91636364
7/31/2010,25.5652381
8/31/2010,24.74590909
9/30/2010,22.51761905
10/31/2010,20.37333333
11/30/2010,20.09571429
12/31/2010,17.56954545
1/31/2011,17.3155
2/28/2011,17.43
3/31/2011,20.72347826
4/30/2011,16.244
5/31/2011,16.91142857
6/30/2011,19.15318182
7/31/2011,19.2275
8/31/2011,35.02913043
9/30/2011,36.53
10/31/2011,32.82904762
11/30/2011,31.94190476
12/31/2011,25.04761905
1/31/2012,20.228
2/29/2012,18.4205
3/31/2012,16.16727273
4/30/2012,17.823
5/31/2012,21.00181818
6/30/2012,21.13095238
7/31/2012,17.56238095
8/31/2012,15.68956522
9/30/2012,15.28473684
10/31/2012,16.27619048
11/30/2012,16.70190476
12/31/2012,17.3445
1/31/2013,13.5052381
2/28/2013,14.07263158
3/31/2013,13.0315
4/30/2013,13.96727273
5/31/2013,13.49363636
6/30/2013,17.2715
7/31/2013,13.97454545
8/31/2013,14.21
9/30/2013,14.692
10/31/2013,15.40782609
11/30/2013,12.924
12/31/2013,14.19238095
1/31/2014,14.24095238
2/28/2014,15.47
3/31/2014,14.83666667
4/30/2014,14.19809524
5/31/2014,12.4752381
6/30/2014,11.54142857
7/31/2014,12.29636364
8/31/2014,13.49190476
9/30/2014,13.46666667
10/31/2014,18.05869565
11/30/2014,13.41315789
12/31/2014,16.29227273
1/31/2015,19.1195
2/28/2015,15.90421053
3/31/2015,14.81272727
4/30/2015,13.4947619
5/31/2015,13.3385
6/30/2015,14.33954545
7/31/2015,14.35227273
8/31/2015,19.42809524
9/30/2015,24.37714286
10/31/2015,16.78954545
